NMFS_DNA_ID_use,SAMPLE_ID,GENUS,SPECIES,LENGTH,WEIGHT,REPORTED_LIFE_STAGE,COLLECTION_DATE,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,inversion_call,Water_Name,Site,Treatment,Treatment.Temp,Start.Temp_C,LOE.Temp_C
M145524,BC-36,Oncorhynchus,mykiss,104,12.7,Juvenile,8/28/24,M145524,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.6,31
M145525,BC-37,Oncorhynchus,mykiss,108,11.9,Juvenile,8/28/24,M145525,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.6,31
M145526,BC-38,Oncorhynchus,mykiss,113,16.9,Juvenile,8/28/24,M145526,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.6,31
M145527,BC-39,Oncorhynchus,mykiss,236,144.2,Juvenile,8/28/24,M145527,California,Monterey,Big Creek,AR,Big Creek,Big Sur,3,23,22.6,31.2
M145528,BC-40,Oncorhynchus,mykiss,90,6.8,Juvenile,8/28/24,M145528,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.6,31.2
M145529,BC-41,Oncorhynchus,mykiss,152,44.2,Juvenile,8/28/24,M145529,California,Monterey,Big Creek,RR,Big Creek,Big Sur,3,23,22.7,31
M145530,BC-42,Oncorhynchus,mykiss,177,57.2,Juvenile,8/28/24,M145530,California,Monterey,Big Creek,RR,Big Creek,Big Sur,3,23,22.7,31.4
M145531,BC-43,Oncorhynchus,mykiss,171,54.8,Juvenile,8/28/24,M145531,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.7,31.5
M145532,BC-44,Oncorhynchus,mykiss,89,7.6,Juvenile,8/28/24,M145532,California,Monterey,Big Creek,AR,Big Creek,Big Sur,3,23,22.7,31.7
M145533,BC-45,Oncorhynchus,mykiss,173,53.8,Juvenile,8/28/24,M145533,California,Monterey,Big Creek,AR,Big Creek,Big Sur,3,23,22.7,31.7
M145534,BC-46,Oncorhynchus,mykiss,90,7.9,Juvenile,8/28/24,M145534,California,Monterey,Big Creek,AA,Big Creek,Big Sur,3,23,22.7,31.7
M145535,BC-47,Oncorhynchus,mykiss,105,11.4,Juvenile,8/28/24,M145535,California,Monterey,Big Creek,AR,Big Creek,Big Sur,3,23,22.7,31.9
