"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"269","M145572","M145873",14.4171540099952,90
"270","M145802","M145811",14.4166578437357,94
"271","M145809","M145813",14.4095049253923,93
"272","M145705","M145710",14.4004024779065,93
"273","M145952","M145972",14.3772684555193,90
"274","M145790","M145802",14.3406869650262,93
"275","M145763","M145776",14.3166452602301,92
"276","M145665","M145688",14.3020085557799,95
"277","M145572","M145582",14.2896921229654,93
"278","M145726","M145764",14.2319645826893,91
"279","M145734","M145781",14.2060257381882,92
"280","M145524","M145880",14.196911908976,94
"281","M145848","M145857",14.1827546838283,94
"282","M145911","M145972",14.1669300920493,91
"283","M145522","M145555",14.1527058034402,93
"284","M145808","M145822",14.1316610412837,93
"285","M145940","M145950",14.127523181934,93
"286","M145525","M145551",14.1195633222277,95
"287","M145841","M145843",14.1162879560063,95
"288","M145524","M145538",14.0998201041282,94
"289","M145793","M145817",14.0845106231049,95
"290","M145607","M145888",14.0786318339072,91
"291","M145738","M145744",14.0587305927807,94
"292","M145925","M145936",14.0490637317944,95
"293","M145844","M145849",14.0226616900592,94
"294","M145718","M145758",14.0167534481984,92
"295","M145935","M145966",14.0159125824319,95
"296","M145736","M145738",14.0158653731784,93
"297","M145560","M145863",13.9892096289667,92
"298","M145731","M145839",13.960383608197,94
"299","M145790","M145808",13.9592689903032,93
"300","M145494","M145880",13.9102681449424,93
"301","M145536","M145541",13.8998546213273,91
"302","M145508","M145547",13.8895217068981,95
"303","M145722","M145723",13.8759794337879,93
"304","M145921","M145929",13.8235016072339,91
"305","M145494","M145538",13.8131763400945,93
"306","M145696","M145841",13.8020187947097,95
"307","M145508","M145582",13.7847317289586,94
"308","M145918","M145946",13.7794750247793,95
"309","M145517","M145539",13.7677915597471,94
"310","M145536","M145539",13.754578416543,93
"311","M145570","M145581",13.6989913457338,94
"312","M145534","M145589",13.6576199291604,92
"313","M145538","M145880",13.6321871169246,95
"314","M145969","M145974",13.629761175198,83
"315","M145718","M145736",13.624016761008,91
"316","M145758","M145783",13.6192857489255,91
"317","M145774","M145783",13.5832230921305,90
"318","M145790","M145824",13.5765374581622,93
"319","M145543","M145590",13.5739660866802,93
"320","M145508","M145551",13.5509175350238,95
"321","M145570","M145574",13.5491619424993,93
"322","M145913","M145956",13.5367192642543,94
"323","M145714","M145755",13.5057895299534,92
"324","M145722","M145759",13.5040191573075,93
"325","M145515","M145522",13.5035348772197,95
"326","M145775","M145784",13.4974917400791,91
"327","M145565","M145571",13.4771073231555,95
"328","M145554","M145574",13.4659188105875,93
"329","M145813","M145825",13.4257204859849,91
"330","M145520","M145554",13.3944842908367,95
"331","M145803","M145837",13.3590781341913,95
"332","M145808","M145816",13.3496718991065,94
"333","M145866","M145874",13.3460905324283,93
"334","M145702","M145744",13.3419058590738,90
"335","M145705","M145839",13.3331146934552,94
"336","M145695","M145782",13.3262581932014,94
"337","M145700","M145762",13.3209132743816,93
"338","M145708","M145730",13.2848185813663,91
"339","M145520","M145570",13.2720028973772,94
"340","M145516","M145536",13.2608152209051,93
"341","M145732","M145786",13.2490588489942,94
"342","M145802","M145814",13.2212847214065,94
"343","M145808","M145821",13.2059020001754,93
"344","M145710","M145753",13.1926037977704,93
"345","M145698","M145736",13.1919515163292,90
"346","M145705","M145731",13.1706512799449,95
"347","M145813","M145831",13.1603296909644,93
"348","M145810","M145819",13.1595153768344,94
"349","M145714","M145718",13.1521701479943,92
"350","M145694","M145711",13.1059193987755,93
"351","M145821","M145825",13.1005524810846,92
"352","M145520","M145574",13.088224513961,93
"353","M145913","M145941",13.0579167713303,95
"354","M145915","M145919",13.0399291768386,86
"355","M145813","M145814",13.0309119736331,93
"356","M145695","M145749",13.0248059174921,93
"357","M145844","M145861",12.9741710786423,94
"358","M145625","M145689",12.9599259002967,94
"359","M145705","M145734",12.941800911401,92
"360","M145493","M145591",12.9393432700214,91
"361","M145551","M145571",12.9280464727492,95
"362","M145733","M145755",12.9213414768226,92
"363","M145497","M145500",12.9209969520737,93
"364","M145719","M145726",12.9183131355571,91
"365","M145702","M145783",12.9056615902827,90
"366","M145548","M145569",12.8973292799756,94
"367","M145812","M145828",12.8893639451598,89
"368","M145820","M145836",12.8648583888312,94
"369","M145790","M145821",12.8504978759348,93
"370","M145714","M145783",12.8462589614105,91
"371","M145502","M145509",12.8221432339189,94
"372","M145913","M145925",12.8107059835919,95
"373","M145793","M145826",12.7957734145251,94
"374","M145740","M145757",12.7866715525523,95
"375","M145877","M145879",12.7817375590131,95
"376","M145744","M145783",12.7649069284598,91
"377","M145553","M145574",12.7453597162941,93
"378","M145731","M145753",12.7276820446336,95
"379","M145551","M145572",12.7249679533051,94
"380","M145842","M145859",12.7032820973764,95
"381","M145808","M145831",12.684262668586,94
"382","M145723","M145759",12.6692076237778,94
"383","M145589","M145591",12.6675379302919,93
"384","M145863","M145880",12.6606266531875,94
"385","M145764","M145768",12.6460215731503,94
"386","M145725","M145751",12.6340581670337,91
"387","M145936","M145956",12.6098138735358,94
"388","M145742","M145757",12.5868760655379,94
"389","M145857","M145861",12.581505772496,94
"390","M145544","M145547",12.5736261630933,95
