".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"LOE.Temp_C","Big Creek","Carmel River",0.0214814814814837,-0.18555871002025,0.228521672983217,0.966,"ns"
"LOE.Temp_C","Big Creek","Scott Creek",0.232910052910054,0.0531354651603389,0.412684640659768,0.008,"**"
"LOE.Temp_C","Carmel River","Scott Creek",0.21142857142857,0.0371634874780752,0.385693655379065,0.014,"*"
