"LocationYear","avgmax_temp","avgmin_temp","avgavg_temp"
"Big Sur 2024",17.92875,14.9575,15.9823391812865
"Big Sur 2025",17.3626,15.0011333333333,15.8904166666667
"Carmel River 2024",17.0292857142857,14.0092857142857,15.5539497481685
"Carmel River 2025",21.3925,17.6358333333333,19.5853993055556
"E Austin 2025",19.89,17.1928571428571,18.51235254329
"Napa 2025",21.368,16.0866666666667,18.3661666666667
"Scott Creek 2024",21.5485714285714,14.6271428571429,16.7697901069792
"Scott Creek 2025",20.41875,15.23625,16.9584608004386
