"","LocationYear","Date","Treatment","Treatment.Temp","Fish.Sample","Start.Temp_C","LOE.Temp_C","Length_mm","Mass_g","Fultons","Lethal.Take","Location","mean_mean","mean_min","mean_max","mean_sd","hist_julymean"
"36","Big Sur 2024",2024-08-28,"3",23,"BC-36",22.6,31,104,12.7,"1.1290254","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"37","Big Sur 2024",2024-08-28,"3",23,"BC-37",22.6,31,108,11.9,"0.9446604","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"38","Big Sur 2024",2024-08-28,"3",23,"BC-38",22.6,31,113,16.9,"1.1712548","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"39","Big Sur 2024",2024-08-28,"3",23,"BC-39",22.6,31.2,236,144.2,"1.0970571","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"40","Big Sur 2024",2024-08-28,"3",23,"BC-40",22.6,31.2,90,6.8,"0.9327846","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"41","Big Sur 2024",2024-08-28,"3",23,"BC-41",22.7,31,152,44.2,"1.2586109","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"42","Big Sur 2024",2024-08-28,"3",23,"BC-42",22.7,31.4,177,57.2,"1.0315166","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"43","Big Sur 2024",2024-08-28,"3",23,"BC-43",22.7,31.5,171,54.8,"1.0959538","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"44","Big Sur 2024",2024-08-28,"3",23,"BC-44",22.7,31.7,89,7.6,"1.0780616","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"45","Big Sur 2024",2024-08-28,"3",23,"BC-45",22.7,31.7,173,53.8,"1.039068","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"46","Big Sur 2024",2024-08-28,"3",23,"BC-46",22.7,31.7,90,7.9,"1.0836763","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"47","Big Sur 2024",2024-08-28,"3",23,"BC-47",22.7,31.9,105,11.4,"0.9847749","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"48","Big Sur 2024",2024-08-28,"3",23,"BC-48",22.8,31.1,201,95.3,"1.1735585","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"49","Big Sur 2024",2024-08-28,"3",23,"BC-49",22.8,31.2,79,5.8,"1.1763775","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"50","Big Sur 2024",2024-08-28,"3",23,"BC-50",22.8,31.6,119,16.5,"0.9791361","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"51","Big Sur 2024",2024-08-28,"3",23,"BC-51",22.8,31.5,132,23.9,"1.0391449","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"52","Big Sur 2024",2024-08-28,"3",23,"BC-52",22.8,31.5,110,13.9,"1.0443276","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"53","Big Sur 2024",2024-08-29,"2",20,"BC-53",20.3,30.7,165,46.5,"1.0351448","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"54","Big Sur 2024",2024-08-29,"2",20,"BC-54",20.3,30.7,159,43.4,"1.0796882","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"55","Big Sur 2024",2024-08-29,"2",20,"BC-55",20.3,31,105,11.7,"1.01069","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
