"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"58","Big Sur 2024","Big Sur",2024-08-19 16:45:00,2024-08-19,16:45:00,16.81,"2024",2043
"59","Big Sur 2024","Big Sur",2024-08-19 16:50:00,2024-08-19,16:50:00,16.81,"2024",2043
"60","Big Sur 2024","Big Sur",2024-08-19 16:55:00,2024-08-19,16:55:00,16.81,"2024",2043
"61","Big Sur 2024","Big Sur",2024-08-19 17:00:00,2024-08-19,17:00:00,16.77,"2024",2043
"62","Big Sur 2024","Big Sur",2024-08-19 17:05:00,2024-08-19,17:05:00,16.73,"2024",2043
"63","Big Sur 2024","Big Sur",2024-08-19 17:10:00,2024-08-19,17:10:00,16.73,"2024",2043
"64","Big Sur 2024","Big Sur",2024-08-19 17:15:00,2024-08-19,17:15:00,16.77,"2024",2043
"65","Big Sur 2024","Big Sur",2024-08-19 17:20:00,2024-08-19,17:20:00,16.69,"2024",2043
"66","Big Sur 2024","Big Sur",2024-08-19 17:25:00,2024-08-19,17:25:00,16.69,"2024",2043
"67","Big Sur 2024","Big Sur",2024-08-19 17:30:00,2024-08-19,17:30:00,16.69,"2024",2043
"68","Big Sur 2024","Big Sur",2024-08-19 17:35:00,2024-08-19,17:35:00,16.69,"2024",2043
"69","Big Sur 2024","Big Sur",2024-08-19 17:40:00,2024-08-19,17:40:00,16.64,"2024",2043
"70","Big Sur 2024","Big Sur",2024-08-19 17:45:00,2024-08-19,17:45:00,16.64,"2024",2043
"71","Big Sur 2024","Big Sur",2024-08-19 17:50:00,2024-08-19,17:50:00,16.6,"2024",2043
"72","Big Sur 2024","Big Sur",2024-08-19 17:55:00,2024-08-19,17:55:00,16.6,"2024",2043
"73","Big Sur 2024","Big Sur",2024-08-19 18:00:00,2024-08-19,18:00:00,16.56,"2024",2043
"74","Big Sur 2024","Big Sur",2024-08-19 18:05:00,2024-08-19,18:05:00,16.51,"2024",2043
"75","Big Sur 2024","Big Sur",2024-08-19 18:10:00,2024-08-19,18:10:00,16.51,"2024",2043
"76","Big Sur 2024","Big Sur",2024-08-19 18:15:00,2024-08-19,18:15:00,16.47,"2024",2043
